,trial,choice,reward,cumulative_reward,model_id
213,14,0,1,11,3279
214,15,0,1,12,3279
215,16,0,1,13,3279
216,17,0,1,14,3279
217,18,0,1,15,3279
218,19,0,1,16,3279
219,20,0,1,17,3279
220,21,0,1,18,3279
221,22,0,1,19,3279
222,23,1,0,19,3279
223,24,0,1,20,3279
224,25,0,1,21,3279
225,26,0,1,22,3279
226,27,0,1,23,3279
227,28,0,1,24,3279
228,29,0,1,25,3279
229,30,0,1,26,3279
230,31,0,1,27,3279
231,32,0,1,28,3279
232,33,0,1,29,3279
233,34,0,1,30,3279
234,35,0,1,31,3279
235,36,0,1,32,3279
236,37,0,1,33,3279
237,38,0,1,34,3279
238,39,0,1,35,3279
239,40,0,1,36,3279
240,41,0,1,37,3279
241,42,0,1,38,3279
242,43,0,1,39,3279
243,44,0,1,40,3279
244,45,0,1,41,3279
245,46,0,1,42,3279
246,47,0,1,43,3279
247,48,0,1,44,3279
248,49,0,1,45,3279
249,50,0,1,46,3279
250,51,0,1,47,3279
251,52,0,1,48,3279
252,53,0,0,48,3279
253,54,0,0,48,3279
254,55,0,0,48,3279
255,56,1,1,49,3279
256,57,1,1,50,3279
257,58,1,1,51,3279
258,59,0,0,51,3279
259,60,1,1,52,3279
260,61,1,1,53,3279
261,62,0,0,53,3279
262,63,0,1,54,3279
263,64,1,1,55,3279
264,65,0,0,55,3279
265,66,1,1,56,3279
266,67,1,1,57,3279
267,68,1,1,58,3279
268,69,1,1,59,3279
269,70,1,1,60,3279
270,71,1,1,61,3279
271,72,1,1,62,3279
272,73,1,1,63,3279
273,74,1,1,64,3279
274,75,1,1,65,3279
275,76,1,1,66,3279
276,77,1,1,67,3279
277,78,1,1,68,3279
278,79,1,1,69,3279
279,80,1,1,70,3279
280,81,1,1,71,3279
281,82,0,0,71,3279
282,83,1,1,72,3279
283,84,1,1,73,3279
284,85,1,1,74,3279
285,86,1,1,75,3279
286,87,1,1,76,3279
287,88,1,1,77,3279
288,89,1,0,77,3279
289,90,1,1,78,3279
290,91,1,1,79,3279
291,92,1,1,80,3279
292,93,1,1,81,3279
293,94,1,1,82,3279
294,95,1,1,83,3279
295,96,1,1,84,3279
296,97,1,1,85,3279
297,98,1,1,86,3279
298,99,1,1,87,3279
299,100,1,1,88,3279
300,1,1,1,1,97197
301,2,1,0,1,97197
302,3,1,0,1,97197
303,4,0,0,1,97197
304,5,0,1,2,97197
305,6,0,1,3,97197
306,7,1,1,4,97197
307,8,0,1,5,97197
308,9,0,1,6,97197
309,10,0,0,6,97197
310,11,1,1,7,97197
311,12,1,1,8,97197
312,13,1,0,8,97197
313,14,1,0,8,97197
314,15,0,1,9,97197
315,16,0,1,10,97197
316,17,0,1,11,97197
317,18,0,1,12,97197
318,19,0,1,13,97197
319,20,0,1,14,97197
320,21,1,0,14,97197
321,22,0,1,15,97197
322,23,0,1,16,97197
323,24,0,1,17,97197
324,25,0,1,18,97197
325,26,0,1,19,97197
326,27,0,1,20,97197
327,28,0,1,21,97197
328,29,0,1,22,97197
329,30,0,1,23,97197
330,31,0,1,24,97197
331,32,0,1,25,97197
332,33,0,1,26,97197
333,34,0,1,27,97197
334,35,0,1,28,97197
335,36,0,1,29,97197
336,37,0,1,30,97197
337,38,0,1,31,97197
338,39,0,1,32,97197
339,40,0,1,33,97197
340,41,0,1,34,97197
341,42,0,1,35,97197
342,43,0,1,36,97197
343,44,0,1,37,97197
344,45,0,1,38,97197
345,46,0,1,39,97197
346,47,0,1,40,97197
347,48,0,1,41,97197
348,49,0,1,42,97197
349,50,0,1,43,97197
350,51,0,1,44,97197
351,52,0,1,45,97197
352,53,0,0,45,97197
353,54,0,0,45,97197
354,55,0,0,45,97197
355,56,1,1,46,97197
356,57,1,1,47,97197
357,58,1,1,48,97197
358,59,1,1,49,97197
359,60,0,1,50,97197
360,61,0,0,50,97197
361,62,0,0,50,97197
362,63,1,1,51,97197
363,64,1,1,52,97197
364,65,1,1,53,97197
365,66,0,0,53,97197
366,67,1,1,54,97197
367,68,1,1,55,97197
368,69,0,0,55,97197
369,70,1,1,56,97197
370,71,1,1,57,97197
371,72,1,1,58,97197
372,73,1,1,59,97197
373,74,0,0,59,97197
374,75,1,1,60,97197
375,76,1,1,61,97197
376,77,1,1,62,97197
377,78,1,1,63,97197
378,79,1,1,64,97197
379,80,1,1,65,97197
380,81,1,1,66,97197
381,82,1,1,67,97197
382,83,1,1,68,97197
383,84,1,1,69,97197
384,85,1,1,70,97197
385,86,1,1,71,97197
386,87,1,1,72,97197
387,88,1,1,73,97197
388,89,1,0,73,97197
389,90,1,1,74,97197
390,91,1,1,75,97197
391,92,1,1,76,97197
392,93,1,1,77,97197
393,94,1,1,78,97197
394,95,1,1,79,97197
395,96,1,1,80,97197
396,97,1,1,81,97197
397,98,1,1,82,97197
398,99,1,1,83,97197
399,100,1,1,84,97197
400,1,0,1,1,36049
401,2,0,1,2,36049
402,3,0,1,3,36049
403,4,0,0,3,36049
404,5,1,1,4,36049
405,6,0,1,5,36049
406,7,1,1,6,36049
407,8,0,1,7,36049
408,9,0,1,8,36049
409,10,1,1,9,36049
410,11,0,1,10,36049
411,12,0,1,11,36049
412,13,1,0,11,36049
413,14,0,1,12,36049
414,15,0,1,13,36049
415,16,0,1,14,36049
416,17,0,1,15,36049
417,18,0,1,16,36049
418,19,1,0,16,36049
419,20,0,1,17,36049
420,21,0,1,18,36049
421,22,0,1,19,36049
422,23,1,0,19,36049
423,24,0,1,20,36049
424,25,0,1,21,36049
425,26,0,1,22,36049
426,27,0,1,23,36049
427,28,0,1,24,36049
428,29,0,1,25,36049
429,30,0,1,26,36049
430,31,0,1,27,36049
431,32,0,1,28,36049
432,33,0,1,29,36049
433,34,0,1,30,36049
434,35,0,1,31,36049
435,36,0,1,32,36049
436,37,0,1,33,36049
437,38,1,0,33,36049
438,39,0,1,34,36049
439,40,0,1,35,36049
